user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22150,Boolean Expressions,Challenges,JPhoneAge2,0,3,0.33,"0,0,1",2023-04-11 10:23:12.393,2023-04-11 10:26:47.902,6818,OBJ2000
norway22150,Boolean Expressions,Challenges,JThreeBoolean3,1,1,1,1,2023-04-11 10:26:51.313,2023-04-11 10:28:14.316,6819,OBJ2000
norway22150,Boolean Expressions,Challenges,JThreeBoolean2,0,2,0.5,"0,1",2023-04-11 10:28:19.223,2023-04-11 10:29:54.668,6820,OBJ2000
norway22150,Boolean Expressions,Challenges,JBooleanDryHot4,0,4,0.25,"0,0,0,1",2023-04-11 10:29:56.513,2023-04-11 10:32:20.024,6821,OBJ2000
norway22150,Boolean Expressions,Challenges,JBooleanDryHot3,1,1,1,1,2023-04-11 10:32:21.694,2023-04-11 10:43:11.574,6822,OBJ2000
norway22150,Boolean Expressions,Challenges,JBooleanDryHot2,1,1,1,1,2023-04-11 10:43:12.758,2023-04-11 10:43:46.791,6823,OBJ2000
norway22150,Boolean Expressions,Challenges,JRentCar3,1,1,1,1,2023-04-11 10:47:15.373,2023-04-11 10:48:45.713,6824,OBJ2000
norway22150,Boolean Expressions,Challenges,JRentCar2,1,1,1,1,2023-04-11 10:48:56.824,2023-04-11 10:51:53.874,6825,OBJ2000
norway22150,Boolean Expressions,Challenges,JFailCourse3,1,1,1,1,2023-04-11 10:51:53.713,2023-04-11 10:52:54.461,6826,OBJ2000
norway22150,Boolean Expressions,Challenges,JFailCourse2,1,1,1,1,2023-04-11 10:52:54.715,2023-04-11 10:54:06.785,6827,OBJ2000
norway22150,Boolean Expressions,Challenges,JFailCourse2,-1,1,1,1,2023-04-11 10:52:54.716,2023-04-11 10:54:06.785,6828,OBJ2000
norway22150,Boolean Expressions,Coding,love6,1,,,,2023-04-11 10:54:23.069,,6829,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6830,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6831,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6832,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6833,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6834,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6835,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6836,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6837,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6838,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6839,OBJ2000
norway22150,Boolean Expressions,Coding,in_order,0,,,,2023-04-11 10:58:59.062,,6840,OBJ2000
